Core Number,Sample Number,"Depth, feet","Permeability, millidarcys to Air","Permeability, millidarcys Klinkenberg","Porosity, percent Ambient","Porosity, percent NCS","Grain Density, gm/cc","Fluid Saturations, percent Water","Fluid Saturations, percent Oil","Fluid Saturations, percent Total",Page Number
1,1-1,9580.5,0.0011,0.0003,0.9,0.9,2.7,96.5,1.5,98.1,39
1,1-2(F),9581.5,+,+,1.2,,2.7,76.4,0.8,77.2,39
1,1-3,9582.1,<0.0001,<0.0001,0.3,0.3,2.69,**,**,**,39
1,1-4(F),9583.5,+,+,0.9,,2.69,**,**,**,39
1,1-5(F),9584.5,+,+,1.4,,2.72,93.1,0.8,93.9,39
1,1-6(F),9585.5,+,+,1.3,,2.7,63.1,1.5,64.6,39
1,1-7(F),9586.5,+,+,1.4,,2.71,76.9,0.2,77.0,39
1,1-8,9587.5,0.0017,0.0005,0.5,0.5,2.7,**,**,**,39
1,1-9(f),9588.5,0.0027,0.0009,0.9,0.9,2.71,**,**,**,39
1,1-10(f),9589.5,0.0074,0.0031,1.7,1.7,2.71,**,**,**,39
1,1-11(F),9590.5,+,+,0.6,,2.69,**,**,**,39
1,1-12(F),9591.5,+,+,0.4,,2.69,**,**,**,39
1,1-13(f),9592.5,0.079,0.051,2.6,2.6,2.72,**,**,**,39
1,1-14,9593.5,0.0005,0.0001,1.6,1.6,2.71,**,**,**,39
1,1-15,9594.35,0.072,0.039,1.3,1.2,2.72,**,**,**,39
1,1-16,9595.75,<0.0001,<0.0001,1.2,1.2,2.71,**,**,**,39
1,1-17(f),9596.65,0.06,0.037,2.8,2.8,2.71,**,**,**,39
1,1-18(F),9597.15,+,+,2.8,,2.74,**,**,**,39
1,1-19(f),9598.5,0.772,0.557,1.7,1.7,2.7,**,**,**,39
1,1-20,9599.75,0.0095,0.0042,1.4,1.4,2.71,**,**,**,39
1,1-21(F),9600.35,+,+,4.3,,2.36,11.5,73.3,84.8,39
1,1-23(F),9602.5,+,+,5.1,,2.17,21.8,18.2,40.0,39
1,1-25(F),9604.5,+,+,3.5,,2.13,29.1,63.1,92.1,39
1,1-27(F),9606.8,+,+,4.7,,2.19,22.1,48.4,70.5,39
1,1-29(F),9608.7,+,+,4.4,,2.13,24.5,32.5,57.0,39
1,1-30(F),9610.5,+,+,4.4,,2.28,30.8,34.9,65.7,39
1,1-31(f),9611.5,0.336,0.233,7.2,7.1,2.76,73.9,6.6,80.5,39
